Latitude,Longitude,cidade,estado
-21.238559093364366,-50.67767156185248,guararapes,SP
-29.339308051026435,-51.938170469152254,farroupilha,RS
-16.188417630572154,-40.668541799994244,almenara,MG
-22.49096829443236,-41.93299436673681,rio das ostras,RJ
-29.913129174384952,-50.985603466089685,gravatai,RS
-14.204571493164341,-41.66925318495302,brumado,BA
-22.207643133103744,-49.96012236632668,marilia,SP
-19.661882899610312,-43.259836838783215,itabira,MG
-11.505624274842031,-54.87656180689116,claudia,MT
-19.85696492967481,-44.65594365629205,para de minas,MG
-20.18218800870089,-48.08300718935784,miguelopolis,SP
-20.788947996053196,-48.328529155083935,terra roxa,SP
-18.58416894421471,-48.19202042220616,araguari,MG
-27.801199866327764,-50.32816993427103,lages,SC
-22.585043608935894,-47.39428051131053,limeira,SP
-23.052573117060362,-45.571696385786026,taubate,SP
-21.566803123779536,-48.74739269089676,santa fe do sul,SP
-23.365286010607072,-46.71947330412692,caieiras,SP
-20.72246605453426,-42.0610586713294,carangola,MG
-17.10483322275876,-42.51127196257519,chapada do norte,MG
-22.92812733035447,-53.1324266318901,loanda,PR
-22.69595804668159,-44.00228194008612,passa tres,RJ
-23.52615267653134,-47.64071507251123,aracoiaba da serra,SP
-22.759570042362036,-42.85793660586282,itaborai,RJ
-19.52245708571767,-40.120633955615595,vitoria,ES
-26.261796628376256,-49.39918962880809,sao bento do sul,SC
-23.09036090457713,-47.2059191164223,indaiatuba,SP
-23.279399999999995,-47.705290006430694,boituva,SP
-22.29754564324738,-42.90507141905587,teresopolis,RJ
-22.768088933310967,-46.57956185955118,pinhalzinho,SP
-9.376206572575954,-40.50551073156423,petrolina,PE
-5.807681287538223,-35.22643059504359,natal,RN
-12.53189475,-41.738307275960764,barreiras,BA
-15.450597518993856,-44.69987442233945,januaria,MG
-22.37702555839219,-43.86829218461353,ipiabas,RJ
-16.57695822689491,-50.304625333286126,firminopolis,GO
-26.282055667938195,-48.90530649006418,joinville,SC
-21.470625017447663,-47.00347084076458,mococa,SP
-23.259698192050724,-45.917485966684175,vitoria,PR
-22.275688834296993,-43.801601151943714,valenca,RJ
-26.740948902488327,-53.514023264452035,sao miguel do oeste,SC
-20.267825339597827,-50.546035865785754,jales,SP
-8.663505846304806,-35.151104736529426,rio formoso,PE
-22.977323744835573,-44.35791687693906,angra dos reis,RJ
-20.608023172142538,-40.759008544590685,alfredo chaves,ES
-15.266368555223949,-40.20376366460614,itapetinga,BA
-11.702842160983344,-49.001090996499954,gurupi,TO
-10.33361416984474,-40.15152490130054,nucleo residencial pilar,BA
-18.442755277869107,-47.02131589192967,coromandel,MG
-22.51901065571697,-47.77541336771601,charqueada,SP
-20.74640223621241,-46.75214136854806,itau de minas,MG
-28.599149497962046,-53.146530800067524,ibiruba,RS
-23.79324999546435,-46.01825742953853,bertioga,SP
-14.133319027802699,-39.744917514253075,ipiau,BA
-19.554645630770498,-44.068702606093204,matozinhos,MG
-5.057875837989238,-42.779896213664074,teresina,PI
-12.01852734104353,-38.056447590225645,entre rios,BA
-11.46761939806074,-58.94117024049761,juina,MT
-23.33278908861503,-46.55760434935543,mairipora,SP
-24.536962818566153,-54.15939195520464,marechal candido rondon,PR
-23.162485351108593,-48.93839733033411,avare,SP
-20.341629369907544,-49.19947325121789,icem,SP
-23.770267254138496,-45.61572750700867,sao sebastiao,SP
-20.135426452994036,-40.28888231639448,serra,ES
-20.814825745617853,-49.50702978063476,mirassol,SP
-4.081900581443849,-39.94671955654222,taperuaba,CE
